,time,norm_temp,norm_humid,norm_pre,norm_p1,norm_p25,norm_p5,norm_p10
0,2021-10-07 14:56:58+00:00,0.0,32.0,36.92307692308015,66.32970590880475,80.0,58.09330628803245,56.39344262295082
1,2021-10-07 14:58:58+00:00,40.0,72.0,33.23076923077633,80.00000000000001,43.990267639902676,80.0,80.0
2,2021-10-07 15:00:58+00:00,40.0,80.0,38.15384615384809,63.97697634679379,44.768856447688556,45.922920892494936,44.590163934426236
3,2021-10-07 15:02:58+00:00,0.0,40.0,9.846153846157506,53.48682435470818,43.5360908353609,37.48478701825558,16.39344262295082
4,2021-10-07 15:04:58+00:00,40.0,24.0,4.923076923085749,26.736217285727133,28.710462287104612,24.66531440162272,66.88524590163934
5,2021-10-07 15:06:58+00:00,40.0,24.0,0.0,35.593128878496266,38.929440389294406,37.64705882352941,19.016393442622952
6,2021-10-07 15:08:58+00:00,80.0,16.0,7.384615384621627,27.527655364691086,35.685320356853204,31.318458417849897,15.737704918032787
7,2021-10-07 15:10:58+00:00,80.0,8.0,3.6923076923178098,30.513535389873187,18.588807785888076,28.235294117647058,18.36065573770492
8,2021-10-07 15:12:58+00:00,80.0,0.0,41.84615384615191,29.06016728123034,20.145985401459853,24.34077079107505,46.557377049180324
9,2021-10-07 15:14:58+00:00,80.0,8.0,41.84615384615191,36.32700782444465,15.539334955393349,14.60446247464503,11.147540983606559
10,2021-10-07 15:16:54+00:00,80.0,0.0,39.38461538461603,23.16755103876249,23.552311435523112,26.450304259634887,18.36065573770492
11,2021-10-07 15:18:54+00:00,80.0,0.0,43.07692307691985,33.87354977965645,23.81184103811841,21.095334685598374,2.6229508196721314
12,2021-10-07 15:20:54+00:00,80.0,0.0,43.07692307691985,25.160536019426207,32.862935928629355,16.227180527383368,22.950819672131146
13,2021-10-07 15:22:54+00:00,80.0,24.0,49.23076923077354,24.95907905387175,44.50932684509326,25.638945233265723,21.639344262295083
14,2021-10-07 15:24:54+00:00,80.0,40.0,51.69230769230941,11.396708337080675,27.3154906731549,39.107505070993916,28.19672131147541
15,2021-10-07 15:26:54+00:00,80.0,48.0,59.07692307691705,32.283478730101635,21.540957015409568,28.07302231237323,80.0
16,2021-10-07 15:28:54+00:00,40.0,40.0,56.615384615381174,14.404173037143636,28.678021086780213,21.58215010141988,0.0
17,2021-10-07 15:30:54+00:00,40.0,48.0,55.384615384613234,19.764367299217554,27.15328467153285,10.547667342799189,0.0
18,2021-10-07 15:32:54+00:00,40.0,48.0,56.615384615381174,13.080312977785777,20.92457420924574,28.559837728194726,26.229508196721312
19,2021-10-07 15:34:54+00:00,40.0,48.0,56.615384615381174,12.850076445723547,16.317923763179238,23.04259634888438,22.295081967213118
20,2021-10-07 15:36:50+00:00,40.0,48.0,57.84615384614911,17.210180771652137,24.525547445255473,20.770791075050706,28.852459016393446
21,2021-10-07 15:38:50+00:00,40.0,56.0,71.38461538461043,17.174206313517406,12.619626926196268,5.1926977687626765,5.9016393442622945
22,2021-10-07 15:40:50+00:00,40.0,48.0,61.53846153845293,17.44041730371437,2.8872668288726673,15.740365111561868,24.918032786885245
23,2021-10-07 15:42:50+00:00,40.0,48.0,56.615384615381174,0.0,11.15977291159773,27.58620689655172,13.77049180327869
24,2021-10-07 15:44:50+00:00,80.0,56.0,57.84615384614911,7.777677848727405,27.510137875101382,9.898580121703853,15.081967213114757
25,2021-10-07 15:46:50+00:00,80.0,56.0,56.615384615381174,7.75609317384657,0.0,14.60446247464503,13.114754098360656
26,2021-10-07 15:48:50+00:00,80.0,56.0,60.30769230768499,14.317834337620294,17.22627737226277,11.683569979716026,4.59016393442623
27,2021-10-07 15:50:50+00:00,80.0,48.0,61.53846153845293,12.274485115567948,21.962692619626928,23.04259634888438,17.049180327868854
28,2021-10-07 15:52:50+00:00,40.0,40.0,61.53846153845293,12.864466228977424,23.195458231954582,5.354969574036511,4.59016393442623
29,2021-10-07 15:54:50+00:00,40.0,32.0,65.23076923077073,18.90098030398418,9.667477696674776,7.302231237322515,0.0
30,2021-10-07 15:56:47+00:00,40.0,56.0,60.30769230768499,8.655454627214679,18.978102189781016,18.336713995943203,0.0
31,2021-10-07 15:58:47+00:00,40.0,48.0,66.46153846153868,2.6261354438348814,10.835360908353607,18.174442190669374,0.0
32,2021-10-07 16:00:47+00:00,40.0,56.0,68.92307692307456,2.5829660940732104,2.627737226277371,0.0,0.0
33,2021-10-07 16:02:47+00:00,40.0,40.0,80.0,11.97949455886321,9.407948094079478,17.20081135902637,13.77049180327869
34,2021-10-07 16:04:47+00:00,40.0,40.0,66.46153846153868,30.37683244896124,16.901865369018655,18.98580121703854,7.213114754098362
35,2021-10-07 16:06:47+00:00,40.0,40.0,64.0000000000028,22.520010792337448,11.19221411192214,9.411764705882353,7.213114754098362
36,2021-10-07 16:08:47+00:00,40.0,40.0,80.0,24.189225649788654,21.11922141119221,27.261663286004055,1.3114754098360657
37,2021-10-07 16:10:47+00:00,40.0,40.0,57.84615384614911,17.24615522978685,22.189781021897808,29.53346855983773,43.9344262295082
38,2021-10-07 16:12:47+00:00,40.0,48.0,57.84615384614911,9.828221962406689,28.1265206812652,32.2920892494929,19.672131147540984
39,2021-10-07 16:14:47+00:00,40.0,48.0,48.0000000000056,15.447432323050634,17.55068937550689,17.52535496957404,15.737704918032787
40,2021-10-07 16:16:43+00:00,80.0,48.0,45.53846153845573,10.173576760500056,29.424168694241686,32.454361054766736,15.737704918032787
41,2021-10-07 16:18:43+00:00,80.0,64.0,51.69230769230941,19.044878136523067,16.707218167072178,22.068965517241377,13.114754098360656
42,2021-10-07 16:20:43+00:00,80.0,56.0,45.53846153845573,13.274575051713295,14.793187347931871,25.96348884381339,17.049180327868854
43,2021-10-07 16:22:43+00:00,80.0,56.0,48.0000000000056,27.30461372425579,14.468775344687753,6.8154158215010145,5.9016393442622945
44,2021-10-07 16:24:43+00:00,0.0,48.0,4.923076923085749,39.917258746290145,30.786699107866983,8.76267748478702,10.491803278688526
